Timestamp: 2024-08-29T05:50:11.331Z, Sine: 2.145620239077832, Sawtooth: 0.6883240825948567, Square: 10.0, Triangle: 1.3766481651897133
Timestamp: 2024-08-29T05:50:29.718Z, Sine: -3.603695504541682, Sawtooth: -1.1734940617701877, Square: -10.0, Triangle: -2.3469881235403753
Timestamp: 2024-08-29T05:50:30.719Z, Sine: 2.5919066510504334, Sawtooth: 0.8345580280064201, Square: 10.0, Triangle: 1.6691160560128402
Timestamp: 2024-08-29T05:50:31.719Z, Sine: 7.774472802805085, Sawtooth: 2.834857853075064, Square: 10.0, Triangle: 5.669715706150127
Timestamp: 2024-08-29T05:50:32.720Z, Sine: 9.987408034462492, Sawtooth: 4.840243892345643, Square: 10.0, Triangle: 9.680487784691293
Timestamp: 2024-08-29T05:50:33.718Z, Sine: 8.36310747800643, Sawtooth: 6.84707944954008, Square: 10.0, Triangle: 6.3058411009198405
Timestamp: 2024-08-29T05:50:34.723Z, Sine: 3.5313097347031692, Sawtooth: 8.85117002959808, Square: 10.0, Triangle: 2.29765994080384
Timestamp: 2024-08-29T05:50:35.728Z, Sine: -2.67299698423417, Sawtooth: -9.138686324919474, Square: -10.0, Triangle: -1.7226273501610547
Timestamp: 2024-08-29T05:50:36.733Z, Sine: -7.846220931367718, Sawtooth: -7.128570000193706, Square: -10.0, Triangle: -5.742859999612588
Timestamp: 2024-08-29T05:50:37.740Z, Sine: -9.993081077666098, Sawtooth: -5.11841572997255, Square: -10.0, Triangle: -9.763168540054899
Timestamp: 2024-08-29T05:50:38.743Z, Sine: -8.293759348518664, Sawtooth: -3.113038038710956, Square: -10.0, Triangle: -6.226076077421913
Timestamp: 2024-08-29T05:50:39.745Z, Sine: -3.4154692703479403, Sawtooth: -1.109508293074805, Square: -10.0, Triangle: -2.21901658614961
Timestamp: 2024-08-29T05:50:40.748Z, Sine: 2.7918643988749854, Sawtooth: 0.9006474949661666, Square: 10.0, Triangle: 1.8012949899323332
Timestamp: 2024-08-29T05:50:41.757Z, Sine: 7.922120114511676, Sawtooth: 2.9107061425389427, Square: 10.0, Triangle: 5.821412285077886
Timestamp: 2024-08-29T05:50:42.766Z, Sine: 9.99692047042971, Sawtooth: 4.921001570002946, Square: 10.0, Triangle: 9.842003140005897
Timestamp: 2024-08-29T05:50:43.761Z, Sine: 8.215679757677353, Sawtooth: 6.9309964691434685, Square: 10.0, Triangle: 6.138007061713066
Timestamp: 2024-08-29T05:50:44.764Z, Sine: 3.292872442053911, Sawtooth: 8.93191556469686, Square: 10.0, Triangle: 2.1361688706062836
Timestamp: 2024-08-29T05:50:45.839Z, Sine: -2.895541807110646, Sawtooth: -9.064929591161436, Square: -10.0, Triangle: -1.870140817677134
Timestamp: 2024-08-29T05:50:46.768Z, Sine: -7.987646413742608, Sawtooth: -7.054872461408473, Square: -10.0, Triangle: -5.890255077183054
Timestamp: 2024-08-29T05:50:47.767Z, Sine: -9.999009306566462, Sawtooth: -5.044806224736621, Square: -10.0, Triangle: -9.910387550526748
Timestamp: 2024-08-29T05:50:48.781Z, Sine: -8.153625899224503, Sawtooth: -3.0346238748488754, Square: -10.0, Triangle: -6.069247749697752
Timestamp: 2024-08-29T05:50:49.834Z, Sine: -3.1701408033099234, Sawtooth: -1.026802493684233, Square: -10.0, Triangle: -2.053604987368466
Timestamp: 2024-08-29T05:50:50.788Z, Sine: 3.0401336900572735, Sawtooth: 0.9832675375371596, Square: 10.0, Triangle: 1.9665350750743187
Timestamp: 2024-08-29T05:50:51.794Z, Sine: 8.074708645591635, Sawtooth: 2.991642164024573, Square: 10.0, Triangle: 5.983284328049147
Timestamp: 2024-08-29T05:50:52.794Z, Sine: 9.99999854045422, Sawtooth: 5.001719784345044, Square: 10.0, Triangle: 9.996560431309614
Timestamp: 2024-08-29T05:50:53.797Z, Sine: 8.068856313262229, Sawtooth: 7.0115135723600055, Square: 10.0, Triangle: 5.976972855279993
Timestamp: 2024-08-29T05:50:54.816Z, Sine: 3.02582482216104, Sawtooth: 9.021512266050065, Square: 10.0, Triangle: 1.9569754678998696
Timestamp: 2024-08-29T05:50:55.817Z, Sine: -3.184561962175874, Sawtooth: -8.968356231026013, Square: -10.0, Triangle: -2.0632875379479763
Timestamp: 2024-08-29T05:50:56.816Z, Sine: -8.154909745495084, Sawtooth: -6.964670149948859, Square: -10.0, Triangle: -6.070659700102285
Timestamp: 2024-08-29T05:50:57.816Z, Sine: -9.999092994944881, Sawtooth: -4.957128047630278, Square: -10.0, Triangle: -9.914256095260566
Timestamp: 2024-08-29T05:50:58.816Z, Sine: -7.997793300750843, Sawtooth: -2.950501949570388, Square: -10.0, Triangle: -5.901003899140776
Timestamp: 2024-08-29T05:50:59.871Z, Sine: -2.911516118992366, Sawtooth: -0.9403841070248052, Square: -10.0, Triangle: -1.880768214049611
Timestamp: 2024-08-29T05:51:00.924Z, Sine: 3.2907049917833926, Sawtooth: 1.0673537940499818, Square: 10.0, Triangle: 2.1347075880999635
Timestamp: 2024-08-29T05:51:01.836Z, Sine: 8.23083511409054, Sawtooth: 3.077481502424366, Square: 10.0, Triangle: 6.154963004848732
Timestamp: 2024-08-29T05:51:02.842Z, Sine: 9.996219807847433, Sawtooth: 5.087525730708893, Square: 10.0, Triangle: 9.824948538582222
Timestamp: 2024-08-29T05:51:03.847Z, Sine: 7.90611446570261, Sawtooth: 7.097628395056321, Square: 10.0, Triangle: 5.80474320988736
Timestamp: 2024-08-29T05:51:04.858Z, Sine: 2.7664740036310835, Sawtooth: 9.107765969259505, Square: 10.0, Triangle: 1.7844680614809902
Timestamp: 2024-08-29T05:51:05.856Z, Sine: -3.4400174400735937, Sawtooth: -8.882173865347905, Square: -10.0, Triangle: -2.2356522693041927
Timestamp: 2024-08-29T05:51:06.857Z, Sine: -8.302741419415856, Sawtooth: -6.881838371513595, Square: -10.0, Triangle: -6.236323256972811
Timestamp: 2024-08-29T05:51:07.864Z, Sine: -9.991886817196773, Sawtooth: -4.871769858112018, Square: -10.0, Triangle: -9.74353971622404
Timestamp: 2024-08-29T05:51:08.863Z, Sine: -7.8271467149196905, Sawtooth: -2.861655810115975, Square: -10.0, Triangle: -5.723311620231949
Timestamp: 2024-08-29T05:51:09.867Z, Sine: -2.6433308283864583, Sawtooth: -0.8515182359127897, Square: -10.0, Triangle: -1.7030364718255795
Timestamp: 2024-08-29T05:51:10.875Z, Sine: 3.5350350820066003, Sawtooth: 1.1500975389359427, Square: 10.0, Triangle: 2.300195077871885
Timestamp: 2024-08-29T05:51:11.874Z, Sine: 8.37568917090137, Sawtooth: 3.1602381487787587, Square: 10.0, Triangle: 6.3204762975575175
Timestamp: 2024-08-29T05:51:12.879Z, Sine: 9.986553739829297, Sawtooth: 5.165087638744538, Square: 10.0, Triangle: 9.66982472251093
Timestamp: 2024-08-29T05:51:13.909Z, Sine: 7.754506196765476, Sawtooth: 7.175227489677446, Square: 10.0, Triangle: 5.6495450206451086
Timestamp: 2024-08-29T05:51:14.885Z, Sine: 2.537825811488341, Sawtooth: 9.183252258697374, Square: 10.0, Triangle: 1.6334954826052535
Timestamp: 2024-08-29T05:51:15.901Z, Sine: -3.661818514841329, Sawtooth: -8.806648112594832, Square: -10.0, Triangle: -2.386703774810339
Timestamp: 2024-08-29T05:51:16.898Z, Sine: -8.449135410938025, Sawtooth: -6.796518127490725, Square: -10.0, Triangle: -6.406963745018553
Timestamp: 2024-08-29T05:51:17.903Z, Sine: -9.978822741738432, Sawtooth: -4.792806243476706, Square: -10.0, Triangle: -9.585612486953416
Timestamp: 2024-08-29T05:51:18.904Z, Sine: -7.670334883253124, Sawtooth: -2.782680052922138, Square: -10.0, Triangle: -5.565360105844276
Timestamp: 2024-08-29T05:51:19.917Z, Sine: -2.4093062067979636, Sawtooth: -0.7745262692178874, Square: -10.0, Triangle: -1.549052538435775
Timestamp: 2024-08-29T05:51:20.914Z, Sine: 3.784929135007947, Sawtooth: 1.235575636219632, Square: 10.0, Triangle: 2.471151272439264
Timestamp: 2024-08-29T05:51:21.919Z, Sine: 8.513766742725364, Sawtooth: 3.242317847495413, Square: 10.0, Triangle: 6.484635694990826
Timestamp: 2024-08-29T05:51:22.928Z, Sine: 9.968574964724016, Sawtooth: 5.252415958383393, Square: 10.0, Triangle: 9.495168083233219
Timestamp: 2024-08-29T05:51:23.923Z, Sine: 7.5985887199963305, Sawtooth: 7.252680114686371, Square: 10.0, Triangle: 5.494639770627259
Timestamp: 2024-08-29T05:51:24.926Z, Sine: 2.2955532893164636, Sawtooth: 9.262728137520439, Square: 10.0, Triangle: 1.474543724959126
Timestamp: 2024-08-29T05:51:25.930Z, Sine: -3.8753039017079667, Sawtooth: -8.7332822174393, Square: -10.0, Triangle: -2.5334355651214056
Timestamp: 2024-08-29T05:51:26.942Z, Sine: -8.570080619962196, Sawtooth: -6.723206114938644, Square: -10.0, Triangle: -6.553587770122715
Timestamp: 2024-08-29T05:51:27.940Z, Sine: -9.960111643063087, Sawtooth: -4.715597987458087, Square: -10.0, Triangle: -9.431195974916175
Timestamp: 2024-08-29T05:51:28.943Z, Sine: -7.520984089004034, Sawtooth: -2.70958205296405, Square: -10.0, Triangle: -5.4191641059281
Timestamp: 2024-08-29T05:51:29.947Z, Sine: -2.1798129566864337, Sawtooth: -0.6994717995175452, Square: -10.0, Triangle: -1.3989435990350907
Timestamp: 2024-08-29T05:51:30.956Z, Sine: 4.0020356259812075, Sawtooth: 1.310605820802925, Square: 10.0, Triangle: 2.62121164160585
Timestamp: 2024-08-29T05:51:31.961Z, Sine: 8.640426923698044, Sawtooth: 3.320754019744819, Square: 10.0, Triangle: 6.641508039489637
Timestamp: 2024-08-29T05:51:32.963Z, Sine: 9.94602750824355, Sawtooth: 5.330861996461601, Square: 10.0, Triangle: 9.338276007076804
Timestamp: 2024-08-29T05:51:33.969Z, Sine: 7.415445609871871, Sawtooth: 7.340935822232532, Square: 10.0, Triangle: 5.318128355534938
Timestamp: 2024-08-29T05:51:34.973Z, Sine: 2.0245450453365557, Sawtooth: 9.351081744444702, Square: 10.0, Triangle: 1.2978365111105967
Timestamp: 2024-08-29T05:51:35.981Z, Sine: -4.147181014423033, Sawtooth: -8.638801930829532, Square: -10.0, Triangle: -2.7223961383409376
Timestamp: 2024-08-29T05:51:36.986Z, Sine: -8.71205058069684, Sawtooth: -6.633390088622088, Square: -10.0, Triangle: -6.733219822755825
Timestamp: 2024-08-29T05:51:38.035Z, Sine: -9.930239237295474, Sawtooth: -4.623795893912874, Square: -10.0, Triangle: -9.247591787825748
Timestamp: 2024-08-29T05:51:38.986Z, Sine: -7.3215764595784005, Sawtooth: -2.6148657453729642, Square: -10.0, Triangle: -5.229731490745929
Timestamp: 2024-08-29T05:51:39.994Z, Sine: -1.9150388429077416, Sawtooth: -0.6133645659203071, Square: -10.0, Triangle: -1.2267291318406142
Timestamp: 2024-08-29T05:51:41.002Z, Sine: 4.234497222827735, Sawtooth: 1.3918097374860021, Square: 10.0, Triangle: 2.783619474972004
Timestamp: 2024-08-29T05:51:41.993Z, Sine: 8.766050226682486, Sawtooth: 3.4019723557161434, Square: 10.0, Triangle: 6.803944711432287
Timestamp: 2024-08-29T05:51:43.003Z, Sine: 9.916332229155632, Sawtooth: 5.41204769930689, Square: 10.0, Triangle: 9.175904601386222
Timestamp: 2024-08-29T05:51:44.013Z, Sine: 7.242395466756578, Sawtooth: 7.421909789213553, Square: 10.0, Triangle: 5.156180421572898
Timestamp: 2024-08-29T05:51:45.008Z, Sine: 1.8004580921152347, Sawtooth: 9.423753995944526, Square: 10.0, Triangle: 1.1524920081109502
Timestamp: 2024-08-29T05:51:46.010Z, Sine: -4.340083752738285, Sawtooth: -8.570988220559311, Square: -10.0, Triangle: -2.858023558881379
Timestamp: 2024-08-29T05:51:47.007Z, Sine: -8.811540877266307, Sawtooth: -6.567672487517154, Square: -10.0, Triangle: -6.8646550249656935
Timestamp: 2024-08-29T05:51:48.017Z, Sine: -9.903564678255927, Sawtooth: -4.557581965728251, Square: -10.0, Triangle: -9.1151639314565
Timestamp: 2024-08-29T05:51:49.022Z, Sine: -7.179640974028744, Sawtooth: -2.549258186204658, Square: -10.0, Triangle: -5.098516372409316
Timestamp: 2024-08-29T05:51:50.017Z, Sine: -1.7143008956468244, Sawtooth: -0.548387660885365, Square: -10.0, Triangle: -1.09677532177073
Timestamp: 2024-08-29T05:51:51.028Z, Sine: 4.422106310487023, Sawtooth: 1.4580562987966585, Square: 10.0, Triangle: 2.9161125975933175
Timestamp: 2024-08-29T05:51:52.034Z, Sine: 8.861574439295993, Sawtooth: 3.4663497219239394, Square: 10.0, Triangle: 6.93269944384788
Timestamp: 2024-08-29T05:51:53.034Z, Sine: 9.892134462253841, Sawtooth: 5.467948041844794, Square: 10.0, Triangle: 9.064103916310415
Timestamp: 2024-08-29T05:51:54.036Z, Sine: 7.119611508706486, Sawtooth: 7.4780719556696384, Square: 10.0, Triangle: 5.043856088660724
Timestamp: 2024-08-29T05:51:55.042Z, Sine: 1.6011092830322724, Sawtooth: 9.488148058170294, Square: 10.0, Triangle: 1.023703883659415
Timestamp: 2024-08-29T05:51:56.048Z, Sine: -4.534871774960478, Sawtooth: -8.50179784771638, Square: -10.0, Triangle: -2.9964043045672435
Timestamp: 2024-08-29T05:51:57.057Z, Sine: -8.921844137843264, Sawtooth: -6.491720227395908, Square: -10.0, Triangle: -7.0165595452081835
Timestamp: 2024-08-29T05:51:58.130Z, Sine: -9.872362745642167, Sawtooth: -4.490883853022465, Square: -10.0, Triangle: -8.98176770604493
Timestamp: 2024-08-29T05:51:59.054Z, Sine: -7.028946143619113, Sawtooth: -2.4810946184669516, Square: -10.0, Triangle: -4.962189236933903
Timestamp: 2024-08-29T05:52:00.064Z, Sine: -1.4743587043446917, Sawtooth: -0.47102003378611196, Square: -10.0, Triangle: -0.9420400675722238
Timestamp: 2024-08-29T05:52:01.066Z, Sine: 4.647228343333945, Sawtooth: 1.5384603244369361, Square: 10.0, Triangle: 3.0769206488738727
Timestamp: 2024-08-29T05:52:02.070Z, Sine: 8.975177853517692, Sawtooth: 3.546315856547429, Square: 10.0, Triangle: 7.092631713094858
Timestamp: 2024-08-29T05:52:03.071Z, Sine: 9.85259649270144, Sawtooth: 5.547209908073864, Square: 10.0, Triangle: 8.905580183852273
Timestamp: 2024-08-29T05:52:04.110Z, Sine: 6.95131367883382, Sawtooth: 7.55346186354922, Square: 10.0, Triangle: 4.893076272901563
Timestamp: 2024-08-29T05:52:05.082Z, Sine: 1.3844747256910914, Sawtooth: 9.557887881786456, Square: 10.0, Triangle: 0.8842242364270863
Timestamp: 2024-08-29T05:52:06.086Z, Sine: -4.726424685439242, Sawtooth: -8.433002108025493, Square: -10.0, Triangle: -3.1339957839490173
Timestamp: 2024-08-29T05:52:07.087Z, Sine: -9.01736970184104, Sawtooth: -6.422926005524837, Square: -10.0, Triangle: -7.154147988950326
Timestamp: 2024-08-29T05:52:08.086Z, Sine: -9.83484473288348, Sawtooth: -4.42069020128145, Square: -10.0, Triangle: -8.8413804025629
Timestamp: 2024-08-29T05:52:09.086Z, Sine: -6.892391243935831, Sawtooth: -2.420550506203347, Square: -10.0, Triangle: -4.841101012406694
Timestamp: 2024-08-29T05:52:10.142Z, Sine: -1.3107872698542482, Sawtooth: -0.41844068100465065, Square: -10.0, Triangle: -0.8368813620093013
Timestamp: 2024-08-29T05:52:11.137Z, Sine: 4.794427599819582, Sawtooth: 1.591611895288863, Square: 10.0, Triangle: 3.183223790577726
Timestamp: 2024-08-29T05:52:12.098Z, Sine: 9.050540342350432, Sawtooth: 3.601697863618319, Square: 10.0, Triangle: 7.203395727236638
Timestamp: 2024-08-29T05:52:13.103Z, Sine: 9.8158902161496, Sawtooth: 5.611747404272202, Square: 10.0, Triangle: 8.776505191455596
Timestamp: 2024-08-29T05:52:14.102Z, Sine: 6.814758652469455, Sawtooth: 7.613384428598351, Square: 10.0, Triangle: 4.773231142803298
Timestamp: 2024-08-29T05:52:15.114Z, Sine: 1.1802595608074704, Sawtooth: 9.623433969252234, Square: 10.0, Triangle: 0.753132061495533
Timestamp: 2024-08-29T05:52:16.139Z, Sine: -4.909182695230367, Sawtooth: -8.366613630562082, Square: -10.0, Triangle: -3.2667727388758405
Timestamp: 2024-08-29T05:52:17.114Z, Sine: -9.093486200912146, Sawtooth: -6.365806094765133, Square: -10.0, Triangle: -7.268387810469735
Timestamp: 2024-08-29T05:52:18.173Z, Sine: -9.802009419800871, Sawtooth: -4.365536626092801, Square: -10.0, Triangle: -8.731073252185602
Timestamp: 2024-08-29T05:52:19.117Z, Sine: -6.747733518105672, Sawtooth: -2.3575862302438355, Square: -10.0, Triangle: -4.715172460487671
Timestamp: 2024-08-29T05:52:20.189Z, Sine: -1.0896318397487572, Sawtooth: -0.3475306183106908, Square: -10.0, Triangle: -0.6950612366213816
Timestamp: 2024-08-29T05:52:21.128Z, Sine: 4.978733580375112, Sawtooth: 1.6588556642183416, Square: 10.0, Triangle: 3.3177113284366833
Timestamp: 2024-08-29T05:52:22.142Z, Sine: 9.138397923064087, Sawtooth: 3.6689719889441097, Square: 10.0, Triangle: 7.337943977888219
Timestamp: 2024-08-29T05:52:23.139Z, Sine: 9.773317836429394, Sawtooth: 5.679043537985317, Square: 10.0, Triangle: 8.641912924029366
Timestamp: 2024-08-29T05:52:24.141Z, Sine: 6.638390147402498, Sawtooth: 7.68926003881891, Square: 10.0, Triangle: 4.62147992236218
Timestamp: 2024-08-29T05:52:25.168Z, Sine: 0.9640137981843542, Sawtooth: 9.69266759995991, Square: 10.0, Triangle: 0.6146648000801818
Timestamp: 2024-08-29T05:52:26.146Z, Sine: -5.097749468545905, Sawtooth: -8.297286653935748, Square: -10.0, Triangle: -3.4054266921285055
Timestamp: 2024-08-29T05:52:27.147Z, Sine: -9.187671840414632, Sawtooth: -6.291860392440056, Square: -10.0, Triangle: -7.41627921511989
Timestamp: 2024-08-29T05:52:28.160Z, Sine: -9.746523815810104, Sawtooth: -4.281783531029494, Square: -10.0, Triangle: -8.563567062058988
Timestamp: 2024-08-29T05:52:29.155Z, Sine: -6.5456791564878, Sawtooth: -2.271494174844753, Square: -10.0, Triangle: -4.542988349689506
Timestamp: 2024-08-29T05:52:30.208Z, Sine: -0.8204222236881592, Sawtooth: -0.261442357461147, Square: -10.0, Triangle: -0.522884714922294
Timestamp: 2024-08-29T05:52:31.171Z, Sine: 5.204666137804454, Sawtooth: 1.742419790714612, Square: 10.0, Triangle: 3.484839581429224
Timestamp: 2024-08-29T05:52:32.177Z, Sine: 9.241790404024801, Sawtooth: 3.7524936164855434, Square: 10.0, Triangle: 7.504987232971087
Timestamp: 2024-08-29T05:52:33.189Z, Sine: 9.716693262118374, Sawtooth: 5.759493857129969, Square: 10.0, Triangle: 8.481012285740062
Timestamp: 2024-08-29T05:52:34.175Z, Sine: 6.447598525219861, Sawtooth: 7.769573754180163, Square: 10.0, Triangle: 4.460852491639676
Timestamp: 2024-08-29T05:52:35.194Z, Sine: 0.7076800946967766, Sawtooth: 9.774549982100542, Square: 10.0, Triangle: 0.4509000357989188
Timestamp: 2024-08-29T05:52:36.187Z, Sine: -5.304638302687299, Sawtooth: -8.220177815115047, Square: -10.0, Triangle: -3.559644369769906
Timestamp: 2024-08-29T05:52:37.184Z, Sine: -9.275854035261863, Sawtooth: -6.218805650346713, Square: -10.0, Triangle: -7.5623886993065765
Timestamp: 2024-08-29T05:52:38.189Z, Sine: -9.699798035782715, Sawtooth: -4.218076282270266, Square: -10.0, Triangle: -8.436152564540533
Timestamp: 2024-08-29T05:52:39.184Z, Sine: -6.414279291352518, Sawtooth: -2.216576620637424, Square: -10.0, Triangle: -4.433153241274849
Timestamp: 2024-08-29T05:52:40.195Z, Sine: -0.6482855536746341, Sawtooth: -0.2065005181367692, Square: -10.0, Triangle: -0.41300103627353835
Timestamp: 2024-08-29T05:52:41.196Z, Sine: 5.349537524899866, Sawtooth: 1.7967097264282075, Square: 10.0, Triangle: 3.593419452856414
Timestamp: 2024-08-29T05:52:42.200Z, Sine: 9.29539456416136, Sawtooth: 3.7979521176023123, Square: 10.0, Triangle: 7.595904235204625
Timestamp: 2024-08-29T05:52:43.193Z, Sine: 9.686433369060751, Sawtooth: 5.799229418632176, Square: 10.0, Triangle: 8.401541162735652
Timestamp: 2024-08-29T05:52:44.206Z, Sine: 6.351724215902829, Sawtooth: 7.809290342934674, Square: 10.0, Triangle: 4.381419314130652
Timestamp: 2024-08-29T05:52:45.208Z, Sine: 0.5691696230167314, Sawtooth: 9.818729720022702, Square: 10.0, Triangle: 0.36254055995459666
Timestamp: 2024-08-29T05:52:46.211Z, Sine: -5.4344699443468585, Sawtooth: -8.17118886510729, Square: -10.0, Triangle: -3.6576222697854224
Timestamp: 2024-08-29T05:52:47.214Z, Sine: -9.33597365555943, Sawtooth: -6.1665162011500225, Square: -10.0, Triangle: -7.666967597699956
Timestamp: 2024-08-29T05:52:48.310Z, Sine: -9.650911272178998, Sawtooth: -4.156462107036694, Square: -10.0, Triangle: -8.312924214073389
Timestamp: 2024-08-29T05:52:49.226Z, Sine: -6.243615770343296, Sawtooth: -2.1464080129233647, Square: -10.0, Triangle: -4.2928160258467285
Timestamp: 2024-08-29T05:52:50.229Z, Sine: -0.4406354426064245, Sawtooth: -0.14030404488002587, Square: -10.0, Triangle: -0.28060808976005175
Timestamp: 2024-08-29T05:52:51.234Z, Sine: 5.538527568525393, Sawtooth: 1.8684295459937679, Square: 10.0, Triangle: 3.7368590919875357
Timestamp: 2024-08-29T05:52:52.304Z, Sine: 9.385712984432265, Sawtooth: 3.87849957721516, Square: 10.0, Triangle: 7.7569991544303205
Timestamp: 2024-08-29T05:52:53.240Z, Sine: 9.620278670085373, Sawtooth: 5.879997721028186, Square: 10.0, Triangle: 8.240004557943626
Timestamp: 2024-08-29T05:52:54.242Z, Sine: 6.168047372720157, Sawtooth: 7.884268162734331, Square: 10.0, Triangle: 4.231463674531341
Timestamp: 2024-08-29T05:52:55.274Z, Sine: 0.3318544185973954, Sawtooth: 9.894348059784525, Square: 10.0, Triangle: 0.21130388043095266
Timestamp: 2024-08-29T05:52:56.245Z, Sine: -5.6322864378748685, Sawtooth: -8.095590257003071, Square: -10.0, Triangle: -3.8088194859938613
Timestamp: 2024-08-29T05:52:57.252Z, Sine: -9.41449587350921, Sawtooth: -6.094642322873184, Square: -10.0, Triangle: -7.8107153542536345
Timestamp: 2024-08-29T05:52:58.263Z, Sine: -9.59594816868627, Sawtooth: -4.092060455711849, Square: -10.0, Triangle: -8.184120911423696
Timestamp: 2024-08-29T05:52:59.256Z, Sine: -6.084279936577768, Sawtooth: -2.08199573685981, Square: -10.0, Triangle: -4.16399147371962
Timestamp: 2024-08-29T05:53:00.257Z, Sine: -0.24645223170009525, Sawtooth: -0.07845612539485736, Square: -10.0, Triangle: -0.1569122507897147
Timestamp: 2024-08-29T05:53:01.268Z, Sine: 5.702705084737264, Sawtooth: 1.9316161825562586, Square: 10.0, Triangle: 3.863232365112517
Timestamp: 2024-08-29T05:53:02.286Z, Sine: 9.452375088225418, Sawtooth: 3.9416998741559914, Square: 10.0, Triangle: 7.883399748311983
Timestamp: 2024-08-29T05:53:03.362Z, Sine: 9.556290200160767, Sawtooth: 5.951773699926923, Square: 10.0, Triangle: 8.096452600146156
Timestamp: 2024-08-29T05:53:04.288Z, Sine: 5.987618681783495, Sawtooth: 7.956595869136022, Square: 10.0, Triangle: 4.086808261727957
Timestamp: 2024-08-29T05:53:05.274Z, Sine: 0.10806507178816, Sawtooth: 9.9656011497568, Square: 10.0, Triangle: 0.0687977004864005
Timestamp: 2024-08-29T05:53:06.285Z, Sine: -5.815905455077979, Sawtooth: -8.024306051724574, Square: -10.0, Triangle: -3.9513878965508513
Timestamp: 2024-08-29T05:53:07.286Z, Sine: -9.488191213706715, Sawtooth: -6.022795765353024, Square: -10.0, Triangle: -7.954408469293952
Timestamp: 2024-08-29T05:53:08.288Z, Sine: -9.52240808702854, Sawtooth: -4.01227190600678, Square: -10.0, Triangle: -8.02454381201356
Timestamp: 2024-08-29T05:53:09.297Z, Sine: -5.883468611838351, Sawtooth: -2.0022102227943726, Square: -10.0, Triangle: -4.004420445588745
Timestamp: 2024-08-29T05:53:10.293Z, Sine: 0.0020306304553908347, Sawtooth: 0.0006463697535789288, Square: 10.0, Triangle: 0.0012927395071578576
Timestamp: 2024-08-29T05:53:11.326Z, Sine: 5.888033680118286, Sawtooth: 2.004007637390203, Square: 10.0, Triangle: 4.008015274780407
Timestamp: 2024-08-29T05:53:12.312Z, Sine: 9.522448429625324, Sawtooth: 4.0123139619859165, Square: 10.0, Triangle: 8.024627923971835
Timestamp: 2024-08-29T05:53:13.304Z, Sine: 9.488607964956294, Sawtooth: 6.022375645198324, Square: 10.0, Triangle: 7.955248709603353
